,Unnamed: 0,Date,Stage,Team,Home Goals,Team Against,Against Goals,Result,Win Conditions,Host Team
21940,43881,2001-07-14,FIFA World Cup qualification,Senegal,1,Morocco,0,Win,normal ending,True
21941,43882,2001-07-14,FIFA World Cup qualification,Morocco,0,Senegal,1,Loss,normal ending,True
21952,43905,2001-07-16,Copa America,Uruguay,1,Costa Rica,1,Draw,normal ending,False
21953,43906,2001-07-16,Copa America,Costa Rica,1,Uruguay,1,Draw,normal ending,False
21972,43945,2001-07-22,Copa America,Uruguay,2,Costa Rica,1,Win,normal ending,False
21973,43946,2001-07-22,Copa America,Costa Rica,1,Uruguay,2,Loss,normal ending,False
21980,43961,2001-07-25,Copa America,Mexico,2,Uruguay,1,Win,normal ending,False
21981,43962,2001-07-25,Copa America,Uruguay,1,Mexico,2,Loss,normal ending,False
21988,43977,2001-08-01,Friendly,Qatar,2,Iran,1,Win,normal ending,True
21989,43978,2001-08-01,Friendly,Iran,1,Qatar,2,Loss,normal ending,True
21992,43985,2001-08-05,Friendly,Saudi Arabia,1,Qatar,2,Loss,normal ending,True
21993,43986,2001-08-05,Friendly,Qatar,2,Saudi Arabia,1,Win,normal ending,True
22012,44025,2001-08-15,FIFA World Cup qualification,Ecuador,0,Argentina,2,Loss,normal ending,True
22013,44026,2001-08-15,FIFA World Cup qualification,Argentina,2,Ecuador,0,Win,normal ending,True
22014,44029,2001-08-15,Friendly,England,0,Netherlands,2,Loss,normal ending,True
22015,44030,2001-08-15,Friendly,Netherlands,2,England,0,Win,normal ending,True
22018,44037,2001-08-15,Friendly,France,1,Denmark,0,Win,normal ending,True
22019,44038,2001-08-15,Friendly,Denmark,0,France,1,Loss,normal ending,True
22026,44053,2001-08-15,Friendly,Japan,3,Australia,0,Win,normal ending,True
22027,44054,2001-08-15,Friendly,Australia,0,Japan,3,Loss,normal ending,True
22040,44081,2001-08-24,FIFA World Cup qualification,Iran,2,Saudi Arabia,0,Win,normal ending,True
22041,44082,2001-08-24,FIFA World Cup qualification,Saudi Arabia,0,Iran,2,Loss,normal ending,True
22054,44109,2001-09-01,FIFA World Cup qualification,Germany,1,England,5,Loss,normal ending,True
22055,44110,2001-09-01,FIFA World Cup qualification,England,5,Germany,1,Win,normal ending,True
22064,44129,2001-09-01,FIFA World Cup qualification,Switzerland,1,Serbia,2,Loss,normal ending,True
22065,44130,2001-09-01,FIFA World Cup qualification,Serbia,2,Switzerland,1,Win,normal ending,True
22078,44157,2001-09-05,FIFA World Cup qualification,Argentina,2,Brazil,1,Win,normal ending,True
22079,44158,2001-09-05,FIFA World Cup qualification,Brazil,1,Argentina,2,Loss,normal ending,True
22088,44177,2001-09-05,FIFA World Cup qualification,Costa Rica,2,United States,0,Win,normal ending,True
22089,44178,2001-09-05,FIFA World Cup qualification,United States,0,Costa Rica,2,Loss,normal ending,True
22132,44265,2001-09-28,FIFA World Cup qualification,Saudi Arabia,2,Iran,2,Draw,normal ending,True
22133,44266,2001-09-28,FIFA World Cup qualification,Iran,2,Saudi Arabia,2,Draw,normal ending,True
22134,44269,2001-10-04,Friendly,Japan,0,Senegal,2,Loss,normal ending,False
22135,44270,2001-10-04,Friendly,Senegal,2,Japan,0,Win,normal ending,False
22146,44293,2001-10-06,FIFA World Cup qualification,Croatia,1,Belgium,0,Win,normal ending,True
22147,44294,2001-10-06,FIFA World Cup qualification,Belgium,0,Croatia,1,Loss,normal ending,True
22170,44341,2001-10-07,FIFA World Cup qualification,Costa Rica,0,Mexico,0,Draw,normal ending,True
22171,44342,2001-10-07,FIFA World Cup qualification,Mexico,0,Costa Rica,0,Draw,normal ending,True
22202,44405,2001-11-07,FIFA World Cup qualification,Ecuador,1,Uruguay,1,Draw,normal ending,True
22203,44406,2001-11-07,FIFA World Cup qualification,Uruguay,1,Ecuador,1,Draw,normal ending,True
22208,44417,2001-11-08,Friendly,South Korea,0,Senegal,1,Loss,normal ending,True
22209,44418,2001-11-08,Friendly,Senegal,1,South Korea,0,Win,normal ending,True
22212,44425,2001-11-10,Friendly,Denmark,1,Netherlands,1,Draw,normal ending,True
22213,44426,2001-11-10,Friendly,Netherlands,1,Denmark,1,Draw,normal ending,True
22218,44437,2001-11-10,Friendly,South Korea,2,Croatia,0,Win,normal ending,True
22219,44438,2001-11-10,Friendly,Croatia,0,South Korea,2,Loss,normal ending,True
22222,44445,2001-11-11,Friendly,Australia,1,France,1,Draw,normal ending,True
22223,44446,2001-11-11,Friendly,France,1,Australia,1,Draw,normal ending,True
22230,44461,2001-11-13,Friendly,South Korea,1,Croatia,1,Draw,normal ending,True
22231,44462,2001-11-13,Friendly,Croatia,1,South Korea,1,Draw,normal ending,True
22244,44489,2001-11-14,Friendly,Poland,0,Cameroon,0,Draw,normal ending,True
22245,44490,2001-11-14,Friendly,Cameroon,0,Poland,0,Draw,normal ending,True
22248,44497,2001-11-14,Friendly,Spain,1,Mexico,0,Win,normal ending,True
22249,44498,2001-11-14,Friendly,Mexico,0,Spain,1,Loss,normal ending,True
22250,44501,2001-11-14,FIFA World Cup qualification,Uruguay,1,Argentina,1,Draw,normal ending,True
22251,44502,2001-11-14,FIFA World Cup qualification,Argentina,1,Uruguay,1,Draw,normal ending,True
22254,44509,2001-11-20,FIFA World Cup qualification,Australia,1,Uruguay,0,Win,normal ending,True
22255,44510,2001-11-20,FIFA World Cup qualification,Uruguay,0,Australia,1,Loss,normal ending,True
22256,44513,2001-11-25,FIFA World Cup qualification,Uruguay,3,Australia,0,Win,normal ending,True
22257,44514,2001-11-25,FIFA World Cup qualification,Australia,0,Uruguay,3,Loss,normal ending,True
22262,44525,2001-12-09,Friendly,South Korea,1,United States,0,Win,normal ending,True
22263,44526,2001-12-09,Friendly,United States,0,South Korea,1,Loss,normal ending,True
22288,44577,2002-01-11,Friendly,Tunisia,0,Cameroon,1,Loss,normal ending,True
22289,44578,2002-01-11,Friendly,Cameroon,1,Tunisia,0,Win,normal ending,True
22308,44617,2002-01-19,Gold Cup,United States,2,South Korea,1,Win,normal ending,True
22309,44618,2002-01-19,Gold Cup,South Korea,1,United States,2,Loss,normal ending,True
22324,44649,2002-01-21,African Cup of Nations,Morocco,0,Ghana,0,Draw,normal ending,False
22325,44650,2002-01-21,African Cup of Nations,Ghana,0,Morocco,0,Draw,normal ending,False
22330,44661,2002-01-22,Gold Cup,Canada,0,Ecuador,2,Loss,normal ending,False
22331,44662,2002-01-22,Gold Cup,Ecuador,2,Canada,0,Win,normal ending,False
22354,44709,2002-01-27,Gold Cup,Mexico,0,South Korea,0,Loss,penalties,False
22355,44710,2002-01-27,Gold Cup,South Korea,0,Mexico,0,Win,penalties,False
22364,44729,2002-01-30,Gold Cup,Costa Rica,3,South Korea,1,Win,normal ending,False
22365,44730,2002-01-30,Gold Cup,South Korea,1,Costa Rica,3,Loss,normal ending,False
22368,44737,2002-01-30,Gold Cup,United States,0,Canada,0,Loss,penalties,True
22369,44738,2002-01-30,Gold Cup,Canada,0,United States,0,Loss,penalties,True
22370,44741,2002-01-30,Gulf Cup,Saudi Arabia,3,Qatar,1,Win,normal ending,True
22371,44742,2002-01-30,Gulf Cup,Qatar,1,Saudi Arabia,3,Loss,normal ending,True
22374,44749,2002-01-31,African Cup of Nations,Senegal,0,Tunisia,0,Draw,normal ending,False
22375,44750,2002-01-31,African Cup of Nations,Tunisia,0,Senegal,0,Draw,normal ending,False
22376,44753,2002-02-02,Gold Cup,Canada,2,South Korea,1,Win,normal ending,False
22377,44754,2002-02-02,Gold Cup,South Korea,1,Canada,2,Loss,normal ending,False
22378,44757,2002-02-02,Gold Cup,United States,2,Costa Rica,0,Win,normal ending,True
22379,44758,2002-02-02,Gold Cup,Costa Rica,0,United States,2,Loss,normal ending,True
22388,44777,2002-02-06,Friendly,Saudi Arabia,0,Brazil,1,Loss,normal ending,True
22389,44778,2002-02-06,Friendly,Brazil,1,Saudi Arabia,0,Win,normal ending,True
22398,44797,2002-02-10,African Cup of Nations,Senegal,0,Cameroon,0,Loss,penalties,False
22399,44798,2002-02-10,African Cup of Nations,Cameroon,0,Senegal,0,Win,penalties,False
22416,44833,2002-02-13,Friendly,Mexico,1,Serbia,2,Loss,normal ending,False
22417,44834,2002-02-13,Friendly,Serbia,2,Mexico,1,Win,normal ending,False
22418,44837,2002-02-13,Friendly,Netherlands,1,England,1,Draw,normal ending,True
22419,44838,2002-02-13,Friendly,England,1,Netherlands,1,Draw,normal ending,True
22422,44845,2002-02-13,Friendly,Saudi Arabia,0,Denmark,1,Loss,normal ending,True
22423,44846,2002-02-13,Friendly,Denmark,1,Saudi Arabia,0,Win,normal ending,True
22424,44849,2002-02-13,Friendly,Spain,1,Portugal,1,Draw,normal ending,True
22425,44850,2002-02-13,Friendly,Portugal,1,Spain,1,Draw,normal ending,True
22428,44857,2002-02-13,Friendly,Uruguay,2,South Korea,1,Win,normal ending,True
22429,44858,2002-02-13,Friendly,South Korea,1,Uruguay,2,Loss,normal ending,True
22430,44861,2002-02-13,Friendly,Wales,1,Argentina,1,Draw,normal ending,True
22431,44862,2002-02-13,Friendly,Argentina,1,Wales,1,Draw,normal ending,True
22442,44885,2002-03-10,Friendly,United States,1,Ecuador,0,Win,normal ending,True
22443,44886,2002-03-10,Friendly,Ecuador,0,United States,1,Loss,normal ending,True
22446,44893,2002-03-13,Friendly,Tunisia,0,South Korea,0,Draw,normal ending,True
22447,44894,2002-03-13,Friendly,South Korea,0,Tunisia,0,Draw,normal ending,True
22458,44917,2002-03-27,Friendly,Argentina,2,Cameroon,2,Draw,normal ending,False
22459,44918,2002-03-27,Friendly,Cameroon,2,Argentina,2,Draw,normal ending,False
22460,44921,2002-03-27,Friendly,Brazil,1,Serbia,0,Win,normal ending,True
22461,44922,2002-03-27,Friendly,Serbia,0,Brazil,1,Loss,normal ending,True
22470,44941,2002-03-27,Friendly,Germany,4,United States,2,Win,normal ending,True
22471,44942,2002-03-27,Friendly,United States,2,Germany,4,Loss,normal ending,True
22474,44949,2002-03-27,Friendly,Netherlands,1,Spain,0,Win,normal ending,True
22475,44950,2002-03-27,Friendly,Spain,0,Netherlands,1,Loss,normal ending,True
22476,44953,2002-03-27,Friendly,Poland,0,Japan,2,Loss,normal ending,True
22477,44954,2002-03-27,Friendly,Japan,2,Poland,0,Win,normal ending,True
22480,44961,2002-03-27,Friendly,Saudi Arabia,3,Uruguay,2,Win,normal ending,True
22481,44962,2002-03-27,Friendly,Uruguay,2,Saudi Arabia,3,Loss,normal ending,True
22504,45009,2002-04-17,Friendly,Germany,0,Argentina,1,Loss,normal ending,True
22505,45010,2002-04-17,Friendly,Argentina,1,Germany,0,Win,normal ending,True
22510,45021,2002-04-17,Friendly,Japan,1,Costa Rica,1,Draw,normal ending,True
22511,45022,2002-04-17,Friendly,Costa Rica,1,Japan,1,Draw,normal ending,True
22518,45037,2002-04-17,Friendly,Portugal,1,Brazil,1,Draw,normal ending,True
22519,45038,2002-04-17,Friendly,Brazil,1,Portugal,1,Draw,normal ending,True
22524,45049,2002-04-21,Friendly,South Korea,2,Costa Rica,0,Win,normal ending,True
22525,45050,2002-04-21,Friendly,Costa Rica,0,South Korea,2,Loss,normal ending,True
22532,45065,2002-05-08,Friendly,Ecuador,1,Serbia,0,Win,normal ending,False
22533,45066,2002-05-08,Friendly,Serbia,0,Ecuador,1,Loss,normal ending,False
22542,45085,2002-05-12,Friendly,United States,2,Uruguay,1,Win,normal ending,True
22543,45086,2002-05-12,Friendly,Uruguay,1,United States,2,Loss,normal ending,True
22548,45097,2002-05-14,Friendly,Saudi Arabia,3,Senegal,2,Win,normal ending,True
22549,45098,2002-05-14,Friendly,Senegal,2,Saudi Arabia,3,Loss,normal ending,True
22550,45101,2002-05-14,Friendly,Wales,1,Germany,0,Win,normal ending,True
22551,45102,2002-05-14,Friendly,Germany,0,Wales,1,Loss,normal ending,True
22552,45105,2002-05-15,Friendly,Switzerland,1,Canada,3,Loss,normal ending,True
22553,45106,2002-05-15,Friendly,Canada,3,Switzerland,1,Win,normal ending,True
22562,45125,2002-05-17,Friendly,Denmark,2,Cameroon,1,Win,normal ending,True
22563,45126,2002-05-17,Friendly,Cameroon,1,Denmark,2,Loss,normal ending,True
22568,45137,2002-05-18,Friendly,France,1,Belgium,2,Loss,normal ending,True
22569,45138,2002-05-18,Friendly,Belgium,2,France,1,Win,normal ending,True
22578,45157,2002-05-19,Friendly,United States,0,Netherlands,2,Loss,normal ending,True
22579,45158,2002-05-19,Friendly,Netherlands,2,United States,0,Win,normal ending,True
22580,45161,2002-05-21,Friendly,South Korea,1,England,1,Draw,normal ending,True
22581,45162,2002-05-21,Friendly,England,1,South Korea,1,Draw,normal ending,True
22584,45169,2002-05-23,Friendly,Ecuador,0,Senegal,1,Loss,normal ending,False
22585,45170,2002-05-23,Friendly,Senegal,1,Ecuador,0,Win,normal ending,False
22592,45185,2002-05-26,Friendly,Belgium,1,Costa Rica,0,Win,normal ending,False
22593,45186,2002-05-26,Friendly,Costa Rica,0,Belgium,1,Loss,normal ending,False
22594,45189,2002-05-26,Friendly,Cameroon,2,England,2,Draw,normal ending,False
22595,45190,2002-05-26,Friendly,England,2,Cameroon,2,Draw,normal ending,False
22596,45193,2002-05-26,Friendly,Denmark,2,Tunisia,1,Win,normal ending,False
22597,45194,2002-05-26,Friendly,Tunisia,1,Denmark,2,Loss,normal ending,False
22598,45197,2002-05-26,Friendly,South Korea,2,France,3,Loss,normal ending,True
22599,45198,2002-05-26,Friendly,France,3,South Korea,2,Win,normal ending,True
22618,45237,2002-08-21,Friendly,Croatia,1,Wales,1,Draw,normal ending,True
22619,45238,2002-08-21,Friendly,Wales,1,Croatia,1,Draw,normal ending,True
22626,45253,2002-08-21,Friendly,Poland,1,Belgium,1,Draw,normal ending,True
22627,45254,2002-08-21,Friendly,Belgium,1,Poland,1,Draw,normal ending,True
22632,45265,2002-08-21,Friendly,Tunisia,1,France,1,Draw,normal ending,True
22633,45266,2002-08-21,Friendly,France,1,Tunisia,1,Draw,normal ending,True
22650,45301,2002-09-07,Friendly,England,1,Portugal,1,Draw,normal ending,True
22651,45302,2002-09-07,Friendly,Portugal,1,England,1,Draw,normal ending,True
22676,45353,2002-09-17,Friendly,Iran,1,Morocco,1,Loss,penalties,True
22677,45354,2002-09-17,Friendly,Morocco,1,Iran,1,Loss,penalties,True
22700,45401,2002-10-12,Friendly,Portugal,1,Tunisia,1,Draw,normal ending,True
22701,45402,2002-10-12,Friendly,Tunisia,1,Portugal,1,Draw,normal ending,True
22716,45433,2002-10-16,Friendly,Costa Rica,1,Ecuador,1,Draw,normal ending,True
22717,45434,2002-10-16,Friendly,Ecuador,1,Costa Rica,1,Draw,normal ending,True
22750,45501,2002-11-20,Friendly,Denmark,2,Poland,0,Win,normal ending,True
22751,45502,2002-11-20,Friendly,Poland,0,Denmark,2,Loss,normal ending,True
22752,45505,2002-11-20,Friendly,Ecuador,2,Costa Rica,2,Draw,normal ending,True
22753,45506,2002-11-20,Friendly,Costa Rica,2,Ecuador,2,Draw,normal ending,True
22754,45509,2002-11-20,Friendly,France,3,Serbia,0,Win,normal ending,True
22755,45510,2002-11-20,Friendly,Serbia,0,France,3,Loss,normal ending,True
22756,45513,2002-11-20,Friendly,Germany,1,Netherlands,3,Loss,normal ending,True
22757,45514,2002-11-20,Friendly,Netherlands,3,Germany,1,Win,normal ending,True
22758,45517,2002-11-20,Friendly,Japan,0,Argentina,2,Loss,normal ending,True
22759,45518,2002-11-20,Friendly,Argentina,2,Japan,0,Win,normal ending,True
22760,45521,2002-11-20,Friendly,South Korea,2,Brazil,3,Loss,normal ending,True
22761,45522,2002-11-20,Friendly,Brazil,3,South Korea,2,Win,normal ending,True
22792,45585,2003-01-18,Friendly,United States,4,Canada,0,Win,normal ending,True
22793,45586,2003-01-18,Friendly,Canada,0,United States,4,Loss,normal ending,True
22798,45597,2003-02-04,Friendly,Mexico,0,Argentina,1,Loss,normal ending,False
22799,45598,2003-02-04,Friendly,Argentina,1,Mexico,0,Win,normal ending,False
22800,45601,2003-02-04,Lunar New Year Cup,Uruguay,1,Iran,1,Loss,penalties,False
22801,45602,2003-02-04,Lunar New Year Cup,Iran,1,Uruguay,1,Loss,penalties,False
22802,45605,2003-02-08,Friendly,United States,0,Argentina,1,Loss,normal ending,True
22803,45606,2003-02-08,Friendly,Argentina,1,United States,0,Win,normal ending,True
22816,45633,2003-02-12,Friendly,Croatia,0,Poland,0,Draw,normal ending,True
22817,45634,2003-02-12,Friendly,Poland,0,Croatia,0,Draw,normal ending,True
22822,45645,2003-02-12,Friendly,England,1,Australia,3,Loss,normal ending,True
22823,45646,2003-02-12,Friendly,Australia,3,England,1,Win,normal ending,True
22834,45669,2003-02-12,Friendly,Morocco,1,Senegal,0,Win,normal ending,False
22835,45670,2003-02-12,Friendly,Senegal,0,Morocco,1,Loss,normal ending,False
22836,45673,2003-02-12,Friendly,Netherlands,1,Argentina,0,Win,normal ending,True
22837,45674,2003-02-12,Friendly,Argentina,0,Netherlands,1,Loss,normal ending,True
22842,45685,2003-02-12,Friendly,Spain,3,Germany,1,Win,normal ending,True
22843,45686,2003-02-12,Friendly,Germany,1,Spain,3,Loss,normal ending,True
22878,45757,2003-03-27,Friendly,Tunisia,2,Ghana,2,Loss,penalties,True
22879,45758,2003-03-27,Friendly,Ghana,2,Tunisia,2,Loss,penalties,True
22880,45761,2003-03-28,Friendly,Japan,2,Uruguay,2,Draw,normal ending,True
22881,45762,2003-03-28,Friendly,Uruguay,2,Japan,2,Draw,normal ending,True
22884,45769,2003-03-29,UEFA Euro qualification,Croatia,4,Belgium,0,Win,normal ending,True
22885,45770,2003-03-29,UEFA Euro qualification,Belgium,0,Croatia,4,Loss,normal ending,True
22900,45801,2003-03-29,Friendly,Portugal,2,Brazil,1,Win,normal ending,True
22901,45802,2003-03-29,Friendly,Brazil,1,Portugal,2,Loss,normal ending,True
22916,45833,2003-03-30,Friendly,Tunisia,1,Cameroon,0,Win,normal ending,True
22917,45834,2003-03-30,Friendly,Cameroon,0,Tunisia,1,Loss,normal ending,True
22936,45873,2003-04-16,Friendly,South Korea,0,Japan,1,Loss,normal ending,True
22937,45874,2003-04-16,Friendly,Japan,1,South Korea,0,Win,normal ending,True
22938,45877,2003-04-30,Friendly,Belgium,3,Poland,1,Win,normal ending,True
22939,45878,2003-04-30,Friendly,Poland,1,Belgium,3,Loss,normal ending,True
22946,45893,2003-04-30,Friendly,Germany,1,Serbia,0,Win,normal ending,True
22947,45894,2003-04-30,Friendly,Serbia,0,Germany,1,Loss,normal ending,True
22952,45905,2003-04-30,Friendly,Mexico,0,Brazil,0,Draw,normal ending,True
22953,45906,2003-04-30,Friendly,Brazil,0,Mexico,0,Draw,normal ending,True
22956,45913,2003-04-30,Friendly,Netherlands,1,Portugal,1,Draw,normal ending,True
22957,45914,2003-04-30,Friendly,Portugal,1,Netherlands,1,Draw,normal ending,True
22958,45917,2003-04-30,Friendly,Spain,4,Ecuador,0,Win,normal ending,True
22959,45918,2003-04-30,Friendly,Ecuador,0,Spain,4,Loss,normal ending,True
22964,45929,2003-04-30,Friendly,Tunisia,1,Senegal,0,Win,normal ending,True
22965,45930,2003-04-30,Friendly,Senegal,0,Tunisia,1,Loss,normal ending,True
22966,45933,2003-05-08,Friendly,United States,0,Mexico,0,Draw,normal ending,True
22967,45934,2003-05-08,Friendly,Mexico,0,United States,0,Draw,normal ending,True
22970,45941,2003-05-26,Friendly,United States,2,Wales,0,Win,normal ending,True
22971,45942,2003-05-26,Friendly,Wales,0,United States,2,Loss,normal ending,True
22974,45949,2003-05-31,Friendly,Japan,0,South Korea,1,Loss,normal ending,True
22975,45950,2003-05-31,Friendly,South Korea,1,Japan,0,Win,normal ending,True
22978,45957,2003-06-01,Friendly,Germany,4,Canada,1,Win,normal ending,True
22979,45958,2003-06-01,Friendly,Canada,1,Germany,4,Loss,normal ending,True
22980,45961,2003-06-03,Friendly,England,2,Serbia,1,Win,normal ending,True
22981,45962,2003-06-03,Friendly,Serbia,1,England,2,Loss,normal ending,True
23006,46013,2003-06-08,Kirin Cup,Japan,1,Argentina,4,Loss,normal ending,True
23007,46014,2003-06-08,Kirin Cup,Argentina,4,Japan,1,Win,normal ending,True
23008,46017,2003-06-08,Friendly,South Korea,0,Uruguay,2,Loss,normal ending,True
23009,46018,2003-06-08,Friendly,Uruguay,2,South Korea,0,Win,normal ending,True
23030,46061,2003-06-11,Friendly,South Korea,0,Argentina,1,Loss,normal ending,True
23031,46062,2003-06-11,Friendly,Argentina,1,South Korea,0,Win,normal ending,True
23050,46101,2003-06-19,Confederations Cup,Brazil,0,Cameroon,1,Loss,normal ending,False
23051,46102,2003-06-19,Confederations Cup,Cameroon,1,Brazil,0,Win,normal ending,False
23054,46109,2003-06-20,Confederations Cup,France,2,Japan,1,Win,normal ending,True
23055,46110,2003-06-20,Confederations Cup,Japan,1,France,2,Loss,normal ending,True
23058,46117,2003-06-21,Confederations Cup,Brazil,1,United States,0,Win,normal ending,False
23059,46118,2003-06-21,Confederations Cup,United States,0,Brazil,1,Loss,normal ending,False
23070,46141,2003-06-23,Confederations Cup,United States,0,Cameroon,0,Draw,normal ending,False
23071,46142,2003-06-23,Confederations Cup,Cameroon,0,United States,0,Draw,normal ending,False
23076,46153,2003-06-29,Confederations Cup,France,1,Cameroon,0,Win,normal ending,True
23077,46154,2003-06-29,Confederations Cup,Cameroon,0,France,1,Loss,normal ending,True
23086,46173,2003-07-12,Gold Cup,Costa Rica,0,Canada,1,Loss,normal ending,False
23087,46174,2003-07-12,Gold Cup,Canada,1,Costa Rica,0,Win,normal ending,False
23090,46181,2003-07-13,Gold Cup,Mexico,1,Brazil,0,Win,normal ending,True
23091,46182,2003-07-13,Gold Cup,Brazil,0,Mexico,1,Loss,normal ending,True
23098,46197,2003-07-16,Friendly,Argentina,2,Uruguay,2,Draw,normal ending,True
23099,46198,2003-07-16,Friendly,Uruguay,2,Argentina,2,Draw,normal ending,True
23112,46225,2003-07-23,Gold Cup,United States,1,Brazil,2,Loss,normal ending,True
23113,46226,2003-07-23,Gold Cup,Brazil,2,United States,1,Win,normal ending,True
23114,46229,2003-07-24,Gold Cup,Mexico,2,Costa Rica,0,Win,normal ending,True
23115,46230,2003-07-24,Gold Cup,Costa Rica,0,Mexico,2,Loss,normal ending,True
23118,46237,2003-07-26,Gold Cup,United States,3,Costa Rica,2,Win,normal ending,True
23119,46238,2003-07-26,Gold Cup,Costa Rica,2,United States,3,Loss,normal ending,True
23120,46241,2003-07-27,Gold Cup,Mexico,1,Brazil,0,Win,normal ending,True
23121,46242,2003-07-27,Gold Cup,Brazil,0,Mexico,1,Loss,normal ending,True
23130,46261,2003-08-20,Friendly,Argentina,3,Uruguay,2,Win,normal ending,False
23131,46262,2003-08-20,Friendly,Uruguay,2,Argentina,3,Loss,normal ending,False
23136,46273,2003-08-20,Friendly,Belgium,1,Netherlands,1,Draw,normal ending,True
23137,46274,2003-08-20,Friendly,Netherlands,1,Belgium,1,Draw,normal ending,True
23142,46285,2003-08-20,Friendly,England,3,Croatia,1,Win,normal ending,True
23143,46286,2003-08-20,Friendly,Croatia,1,England,3,Loss,normal ending,True
23154,46309,2003-08-20,UEFA Euro qualification,Serbia,1,Wales,0,Win,normal ending,True
23155,46310,2003-08-20,UEFA Euro qualification,Wales,0,Serbia,1,Loss,normal ending,True
23156,46313,2003-08-20,Friendly,Switzerland,0,France,2,Loss,normal ending,True
23157,46314,2003-08-20,Friendly,France,2,Switzerland,0,Win,normal ending,True
23182,46365,2003-09-06,Friendly,Portugal,0,Spain,3,Loss,normal ending,True
23183,46366,2003-09-06,Friendly,Spain,3,Portugal,0,Win,normal ending,True
23194,46389,2003-09-10,UEFA Euro qualification,Belgium,2,Croatia,1,Win,normal ending,True
23195,46390,2003-09-10,UEFA Euro qualification,Croatia,1,Belgium,2,Loss,normal ending,True
23196,46393,2003-09-10,FIFA World Cup qualification,Brazil,1,Ecuador,0,Win,normal ending,True
23197,46394,2003-09-10,FIFA World Cup qualification,Ecuador,0,Brazil,1,Loss,normal ending,True
23206,46413,2003-09-10,Friendly,Japan,0,Senegal,1,Loss,normal ending,True
23207,46414,2003-09-10,Friendly,Senegal,1,Japan,0,Win,normal ending,True
23250,46501,2003-10-08,Friendly,Tunisia,0,Japan,1,Loss,normal ending,True
23251,46502,2003-10-08,Friendly,Japan,1,Tunisia,0,Win,normal ending,True
23282,46565,2003-10-11,Friendly,Tunisia,0,Morocco,0,Draw,normal ending,True
23283,46566,2003-10-11,Friendly,Morocco,0,Tunisia,0,Draw,normal ending,True
23286,46573,2003-10-11,UEFA Euro qualification,Wales,2,Serbia,3,Loss,normal ending,True
23287,46574,2003-10-11,UEFA Euro qualification,Serbia,3,Wales,2,Win,normal ending,True
23294,46589,2003-10-15,Friendly,Mexico,0,Uruguay,2,Loss,normal ending,False
23295,46590,2003-10-15,Friendly,Uruguay,2,Mexico,0,Win,normal ending,False
23318,46637,2003-11-15,Friendly,Germany,0,France,3,Loss,normal ending,True
23319,46638,2003-11-15,Friendly,France,3,Germany,0,Win,normal ending,True
23336,46673,2003-11-16,Friendly,England,2,Denmark,3,Loss,normal ending,True
23337,46674,2003-11-16,Friendly,Denmark,3,England,2,Win,normal ending,True
23342,46685,2003-11-16,Friendly,Poland,4,Serbia,3,Win,normal ending,True
23343,46686,2003-11-16,Friendly,Serbia,3,Poland,4,Loss,normal ending,True
23348,46697,2003-11-19,FIFA World Cup qualification,Brazil,3,Uruguay,3,Draw,normal ending,True
23349,46698,2003-11-19,FIFA World Cup qualification,Uruguay,3,Brazil,3,Draw,normal ending,True
23358,46717,2003-11-19,Friendly,Japan,0,Cameroon,0,Draw,normal ending,True
23359,46718,2003-11-19,Friendly,Cameroon,0,Japan,0,Draw,normal ending,True
23390,46781,2003-12-10,EAFF Championship,Japan,0,South Korea,0,Draw,normal ending,True
23391,46782,2003-12-10,EAFF Championship,South Korea,0,Japan,0,Draw,normal ending,True
23410,46821,2003-12-29,Gulf Cup,Saudi Arabia,0,Qatar,0,Draw,normal ending,False
23411,46822,2003-12-29,Gulf Cup,Qatar,0,Saudi Arabia,0,Draw,normal ending,False
23462,46925,2004-02-07,African Cup of Nations,Tunisia,1,Senegal,0,Win,normal ending,True
23463,46926,2004-02-07,African Cup of Nations,Senegal,0,Tunisia,1,Loss,normal ending,True
23478,46957,2004-02-14,African Cup of Nations,Tunisia,2,Morocco,1,Win,normal ending,True
23479,46958,2004-02-14,African Cup of Nations,Morocco,1,Tunisia,2,Loss,normal ending,True
23480,46961,2004-02-18,Friendly,Belgium,0,France,2,Loss,normal ending,True
23481,46962,2004-02-18,Friendly,France,2,Belgium,0,Win,normal ending,True
23482,46965,2004-02-18,Friendly,Croatia,1,Germany,2,Loss,normal ending,True
23483,46966,2004-02-18,Friendly,Germany,2,Croatia,1,Win,normal ending,True
23484,46969,2004-02-18,FIFA World Cup qualification,Iran,3,Qatar,1,Win,normal ending,True
23485,46970,2004-02-18,FIFA World Cup qualification,Qatar,1,Iran,3,Loss,normal ending,True
23496,46993,2004-02-18,Friendly,Morocco,2,Switzerland,1,Win,normal ending,True
23497,46994,2004-02-18,Friendly,Switzerland,1,Morocco,2,Loss,normal ending,True
23498,46997,2004-02-18,Friendly,Netherlands,1,United States,0,Win,normal ending,True
23499,46998,2004-02-18,Friendly,United States,0,Netherlands,1,Loss,normal ending,True
23502,47005,2004-02-18,Friendly,Portugal,1,England,1,Draw,normal ending,True
23503,47006,2004-02-18,Friendly,England,1,Portugal,1,Draw,normal ending,True
23514,47029,2004-03-10,Friendly,Mexico,2,Ecuador,1,Win,normal ending,True
23515,47030,2004-03-10,Friendly,Ecuador,1,Mexico,2,Loss,normal ending,True
